general_possession_pct_home,general_possession_pct_away,general_shots_home,general_shots_away,general_shots_on_goal_home,general_shots_on_goal_away,general_blocked_shots_home,general_blocked_shots_away,general_total_passes_home,general_total_passes_away,general_passing_accuracy_pct_home,general_passing_accuracy_pct_away,general_corners_home,general_corners_away,general_total_crosses_home,general_total_crosses_away,general_offsides_home,general_offsides_away,general_aerial_duels_won_home,general_aerial_duels_won_away,general_expected_goals_home,general_expected_goals_away,general_goalkeeper_saves_home,general_goalkeeper_saves_away,general_clearances_home,general_clearances_away,general_fouls_home,general_fouls_away,general_yellow_cards_home,general_yellow_cards_away,general_red_cards_home,general_red_cards_away,general_overall_pct_home,general_overall_pct_away,general_open_play_pass_pct_home,general_open_play_pass_pct_away,general_set_piece_cross_pct_home,general_set_piece_cross_pct_away,general_open_play_cross_pct_home,general_open_play_cross_pct_away,general_goals_conceded_home,general_goals_conceded_away,general_shots_against_home,general_shots_against_away,general_clean_sheets_home,general_clean_sheets_away,general_xg_conceded_home,general_xg_conceded_away,general_interceptions_home,general_interceptions_away,shooting_goals_home,shooting_goals_away,shooting_on_target_home,shooting_on_target_away,shooting_off_target_home,shooting_off_target_away,shooting_blocked_home,shooting_blocked_away,passing_overall_pct_home,passing_overall_pct_away,passing_open_play_pass_pct_home,passing_open_play_pass_pct_away,passing_set_piece_cross_pct_home,passing_set_piece_cross_pct_away,passing_open_play_cross_pct_home,passing_open_play_cross_pct_away,possession_0_5_home,possession_0_5_away,possession_6_10_home,possession_6_10_away,possession_11_15_home,possession_11_15_away,possession_16_20_home,possession_16_20_away,possession_21_25_home,possession_21_25_away,possession_26_30_home,possession_26_30_away,possession_31_35_home,possession_31_35_away,possession_36_40_home,possession_36_40_away,possession_41_45_home,possession_41_45_away,possession_46_50_home,possession_46_50_away,possession_51_55_home,possession_51_55_away,possession_56_60_home,possession_56_60_away,possession_61_65_home,possession_61_65_away,possession_66_70_home,possession_66_70_away,possession_71_75_home,possession_71_75_away,possession_76_80_home,possession_76_80_away,possession_81_85_home,possession_81_85_away,possession_86_90_home,possession_86_90_away,xg_total_team_xg_home,xg_total_team_xg_away,xg_shots_home,xg_shots_away,xg_shots_on_target_home,xg_shots_on_target_away,match_id
40.7,59.3,6,26,3,11,1,9,326,573,76.1,89.3,1,5,3,17,2,1,27,22,0.3,2.0,10,2,15,2,11,10,4,1,1,0,76.1,89.3,77.1,89.3,0.0,50.0,0.0,23.5,1,1,6,26,0,0,2.0,0.3,0,0,1,1,3,11,2,5,1,9,76.1,89.3,77.1,89.3,0.0,50.0,0.0,23.5,50.11,49.89,53.25,46.75,27.05,72.95,38.94,61.06,14.6,85.4,39.11,60.89,67.57,32.43,44.31,55.69,47.65,52.35,23.51,76.49,73.26,26.74,61.27,38.73,34.46,65.54,46.42,53.58,52.68,47.32,26.13,73.87,36.86,63.14,27.28,72.72,0.4,2.0,6,26,3,11,2c7e9d25
47.7,52.3,21,7,6,0,8,3,407,516,84.3,83.3,9,2,8,8,4,0,16,14,3.4,0.3,0,5,6,5,9,14,2,2,0,0,84.3,83.3,84.9,83.3,62.5,50.0,12.5,12.5,0,1,21,7,0,0,0.3,3.4,1,0,1,0,6,0,7,2,8,3,84.3,83.3,84.9,83.3,62.5,50.0,12.5,12.5,52.63,47.37,47.28,52.72,49.9,50.1,54.42,45.58,51.77,48.23,37.54,62.46,46.13,53.87,83.37,16.63,49.79,50.21,55.64,44.36,48.62,51.38,26.19,73.81,74.9,25.1,36.43,63.57,36.63,63.37,35.58,64.42,49.87,50.13,57.02,42.98,3.4,0.3,21,7,6,0,31e64f91
58.4,41.6,20,10,6,2,11,5,452,268,84.3,76.5,8,3,6,3,1,2,17,17,2.3,1.4,1,5,11,14,13,15,2,3,0,0,84.3,76.5,85.6,76.7,33.3,66.7,33.3,0.0,1,1,20,10,0,0,1.4,2.3,0,2,1,1,6,2,3,2,11,5,84.3,76.5,85.6,76.7,33.3,66.7,33.3,0.0,34.46,65.54,65.78,34.22,42.97,57.03,43.73,56.27,77.17,22.83,68.1,31.9,51.68,48.32,29.7,70.3,68.53,31.47,55.95,44.05,78.33,21.67,64.71,35.29,61.14,38.86,69.52,30.48,60.3,39.7,64.83,35.17,56.48,43.52,64.89,35.11,2.3,1.4,20,10,6,2,55b0fe90
55.5,44.5,19,8,6,4,5,2,558,484,88.0,85.7,7,2,12,3,1,0,11,13,1.7,1.4,1,4,5,12,9,14,1,1,0,0,88.0,85.7,88.3,86.2,28.6,0.0,25.0,33.3,3,2,19,8,0,0,1.4,1.7,0,0,2,3,6,4,8,2,5,2,88.0,85.7,88.3,86.2,28.6,0.0,25.0,33.3,57.85,42.15,61.56,38.44,29.12,70.88,35.35,64.65,57.22,42.78,62.23,37.77,51.63,48.37,57.09,42.91,56.89,43.11,65.22,34.78,77.3,22.7,40.96,59.04,44.65,55.35,51.45,48.55,69.52,30.48,56.61,43.39,45.06,54.94,82.26,17.74,1.7,1.4,19,8,6,4,d5fb4a23
48.1,51.9,12,15,5,2,2,4,440,454,78.6,81.5,3,7,4,10,2,3,19,24,2.4,2.2,1,3,14,4,12,10,3,1,0,0,78.6,81.5,79.0,81.8,0.0,57.1,50.0,10.0,1,2,12,15,0,0,2.2,2.4,2,0,2,1,5,2,4,6,2,4,78.6,81.5,79.0,81.8,0.0,57.1,50.0,10.0,32.75,67.25,43.41,56.59,33.53,66.47,61.33,38.67,67.87,32.13,80.77,19.23,50.46,49.54,54.45,45.55,62.38,37.62,60.21,39.79,62.47,37.53,70.71,29.29,48.58,51.42,64.22,35.78,24.73,75.27,25.32,74.68,15.61,84.39,32.15,67.85,2.4,2.2,12,15,5,2,b5929d59
36.9,63.1,15,15,10,2,3,8,315,611,76.5,86.9,2,4,9,10,0,3,6,8,1.9,1.1,2,7,12,3,10,12,2,0,0,0,76.5,86.9,78.6,86.4,50.0,0.0,22.2,50.0,0,3,15,15,0,0,1.1,1.9,2,1,3,0,10,2,2,1,3,8,76.5,86.9,78.6,86.4,50.0,0.0,22.2,50.0,32.16,67.84,29.75,70.25,25.16,74.84,64.23,35.77,46.14,53.86,17.9,82.1,20.9,79.1,23.56,76.44,49.44,50.56,47.24,52.76,35.14,64.86,31.46,68.54,32.14,67.86,50.72,49.28,54.04,45.96,46.01,53.99,49.53,50.47,37.58,62.42,1.9,1.1,15,15,10,2,0a6cd237
51.9,48.1,15,2,2,0,9,0,400,384,84.0,81.8,5,1,6,0,1,2,9,10,1.5,0.3,0,0,1,9,16,19,3,3,0,0,84.0,81.8,86.1,81.4,50.0,0.0,33.3,0.0,0,2,15,2,0,0,0.3,1.5,0,0,2,0,2,0,4,1,9,0,84.0,81.8,86.1,81.4,50.0,0.0,33.3,0.0,68.89,31.11,42.95,57.05,48.21,51.79,61.26,38.74,66.19,33.81,75.91,24.09,70.18,29.82,61.25,38.75,59.1,40.9,50.68,49.32,40.95,59.05,45.8,54.2,37.67,62.33,24.7,75.3,17.41,82.59,45.83,54.17,63.99,36.01,59.79,40.21,1.5,0.3,15,2,2,0,943e7963
54.3,45.7,22,11,5,3,9,4,499,409,88.6,83.1,9,4,13,7,5,0,14,9,3.3,1.7,3,2,11,13,17,12,1,2,0,0,88.6,83.1,89.0,84.8,80.0,60.0,23.1,14.3,0,3,22,11,0,0,1.7,3.3,0,2,3,0,5,3,8,4,9,4,88.6,83.1,89.0,84.8,80.0,60.0,23.1,14.3,39.48,60.52,56.46,43.54,64.82,35.18,34.16,65.84,43.46,56.54,89.52,10.48,55.95,44.05,54.75,45.25,70.4,29.6,79.51,20.49,69.97,30.03,72.91,27.09,26.49,73.51,25.36,74.64,55.76,44.24,24.49,75.51,82.39,17.61,54.66,45.34,3.3,1.7,22,11,5,3,b52e5d02
63.7,36.3,15,16,4,6,0,4,584,331,87.3,80.4,6,3,8,3,0,1,33,25,1.5,1.1,5,3,3,6,13,14,1,3,0,0,87.3,80.4,88.0,83.1,50.0,25.0,25.0,33.3,1,1,15,16,0,0,1.1,1.5,1,1,1,1,4,6,9,5,0,4,87.3,80.4,88.0,83.1,50.0,25.0,25.0,33.3,80.18,19.82,56.38,43.62,46.96,53.04,56.35,43.65,49.25,50.75,42.38,57.62,59.62,40.38,84.32,15.68,72.62,27.38,64.48,35.52,75.84,24.16,63.61,36.39,77.88,22.12,73.52,26.48,65.33,34.67,77.59,22.41,63.31,36.69,57.61,42.39,1.5,1.1,15,16,4,6,f2a39a0d
48.3,51.8,14,10,7,4,3,5,471,447,84.3,81.4,8,5,11,7,3,2,13,12,1.7,1.0,3,5,7,6,12,17,0,4,0,0,84.3,81.4,84.0,82.0,28.6,0.0,9.1,14.3,1,1,14,10,0,0,1.0,1.7,3,5,1,1,7,4,4,1,3,5,84.3,81.4,84.0,82.0,28.6,0.0,9.1,14.3,49.89,50.11,60.2,39.8,38.57,61.43,46.47,53.53,51.26,48.74,43.7,56.3,45.2,54.8,35.81,64.19,40.71,59.29,37.51,62.49,68.94,31.06,45.57,54.43,46.89,53.11,72.46,27.54,37.88,62.12,44.96,55.04,36.55,63.45,54.21,45.79,1.7,1.0,14,10,7,4,443f75cd
