event_id,match_id,event_minute,event_type,event_comment
24,e93f5eae,46',Foul,"Wayne Frederick (Colorado Rapids) wins a free kick, after being fouled by Raheem Edwards (Toronto FC)."
23,e93f5eae,45'+5,Attempt Saved,Attempt blocked. Josh Sargent's (Toronto FC) with right footed shot from the center of the box with an xG of 7% is blocked by Lucas Herrington.
22,e93f5eae,45'+4,Foul,"Rafael Navarro (Colorado Rapids) wins a free kick, after being fouled by Walker Zimmerman (Toronto FC)."
21,e93f5eae,45'+4,Foul,Foul by Deandre Kerr (Toronto FC).
20,e93f5eae,45',Attempt Saved,Attempt saved. Paxten Aaronson's (Colorado Rapids) with left footed shot from the left side of the box with an xG of 6% is saved by Luka Gavran.
19,e93f5eae,44',Foul,"Rafael Navarro (Colorado Rapids) wins a free kick, after being fouled by Benjamín Kuscevic (Toronto FC)."
18,e93f5eae,41',Yellow Card,Walker Zimmerman (Toronto FC) is shown the yellow card
17,e93f5eae,41',Foul,"Rafael Navarro (Colorado Rapids) wins a free kick, after being fouled by Walker Zimmerman (Toronto FC)."
16,e93f5eae,41',Foul,"Hamzat Ojediran (Colorado Rapids) wins a free kick, after being fouled by Dániel Sallói (Toronto FC)."
15,e93f5eae,39',Foul,"Richie Laryea (Toronto FC) wins a free kick, after being fouled by Rafael Navarro (Colorado Rapids)."
14,e93f5eae,36',Substitution,"Substitution: D. Sealy out, K. Rosenberry in"
13,e93f5eae,34',Red card,Jackson Travis (Colorado Rapids) is shown the red card
12,e93f5eae,32',Foul,"Raheem Edwards (Toronto FC) wins a free kick, after being fouled by Jackson Travis (Colorado Rapids)."
11,e93f5eae,31',Foul,"Paxten Aaronson (Colorado Rapids) wins a free kick, after being fouled by Alonso Coello (Toronto FC)."
10,e93f5eae,29',Corner,"Corner from the right, (Colorado Rapids). Executed by Dante Sealy."
9,e93f5eae,27',Foul,"José Cifuentes (Toronto FC) wins a free kick, after being fouled by Josh Atencio (Colorado Rapids)."
8,e93f5eae,26',Foul,"Luka Gavran (Toronto FC) wins a free kick, after being fouled by Josh Atencio (Colorado Rapids)."
7,e93f5eae,26',Corner,"Corner from the right, (Colorado Rapids). Executed by Dante Sealy."
6,e93f5eae,25',Attempt Saved,Attempt blocked. Rafael Navarro's (Colorado Rapids) with left footed shot from the center of the box with an xG of 16% is blocked by Walker Zimmerman.
5,e93f5eae,25',Foul,"Rafael Navarro (Colorado Rapids) wins a free kick, after being fouled by Walker Zimmerman (Toronto FC)."
4,e93f5eae,25',Foul,"Wayne Frederick (Colorado Rapids) wins a free kick, after being fouled by Benjamín Kuscevic (Toronto FC)."
3,e93f5eae,24',Attempt Missed,Attempt missed. Deandre Kerr's (Toronto FC) with right footed shot from the right side of the box with an xG of 7% misses to the right.
2,e93f5eae,21',Foul,"Dante Sealy (Colorado Rapids) wins a free kick, after being fouled by Alonso Coello (Toronto FC)."
1,e93f5eae,18',Attempt Saved,Attempt saved. Rafael Navarro's (Colorado Rapids) with right footed shot from the central position outside the box with an xG of 10% is saved by Luka Gavran.
76,39bd6d92,90'+6,Attempt Missed,Attempt missed. Daniel Pinter's (Inter Miami CF) with right footed shot from the right side of the box with an xG of 3% misses to the right.
75,39bd6d92,90'+5,Corner,"Corner from the left, (New York City Football Club). Executed by Maxi Moralez."
74,39bd6d92,90'+5,Attempt Saved,Attempt saved. Aiden O'Neill's (New York City Football Club) with header from the center of the box with an xG of 11% is saved by Dayne St. Clair.
73,39bd6d92,90'+5,Corner,"Corner from the right, (New York City Football Club). Executed by Nicolás Fernández."
72,39bd6d92,90'+3,Foul,Foul by David Ayala (Inter Miami CF).
71,39bd6d92,90'+2,Foul,"Jonathan Shore (New York City Football Club) wins a free kick, after being fouled by David Ruíz (Inter Miami CF)."
70,39bd6d92,90'+2,Foul,Foul by Nicolás Fernández (New York City Football Club).
69,39bd6d92,90'+1,Foul,"Talles Magno (New York City Football Club) wins a free kick, after being fouled by David Ruíz (Inter Miami CF)."
68,39bd6d92,90',Attempt Missed,Attempt missed. Matt Freese's (New York City Football Club) with header from the center of the box with an xG of 8% misses to the left.
67,39bd6d92,90',Corner,"Corner from the right, (New York City Football Club). Executed by Nicolás Fernández."
66,39bd6d92,90',Attempt Saved,Attempt blocked. Talles Magno's (New York City Football Club) with right footed shot from the center of the box with an xG of 14% is blocked by David Ayala.
65,39bd6d92,88',Attempt Missed,Attempt missed. Germán Berterame's (Inter Miami CF) with header from the center of the box goes over.
64,39bd6d92,88',Corner,"Corner from the right, (Inter Miami CF). Executed by Lionel Messi."
63,39bd6d92,86',Substitution,"Substitution: T. Gray out, D. Baiera in"
62,39bd6d92,86',Substitution,"Substitution: A. Ojeda out, S. Reid in"
61,39bd6d92,84',Offside,"Offside, New York City Football Club. Talles Magno is caught offside."
60,39bd6d92,84',Attempt Saved,Attempt saved. Lionel Messi's (Inter Miami CF) with left footed shot from the center of the box with an xG of 11% is saved by Matt Freese.
59,39bd6d92,83',Attempt Missed,Attempt missed. Agustín Ojeda's (New York City Football Club) with right footed shot from the right side of the box with an xG of 4% misses to the right.
58,39bd6d92,82',Substitution,"Substitution: H. Wolf out, T. Magno in"
57,39bd6d92,81',Foul,"David Ruíz (Inter Miami CF) wins a free kick, after being fouled by Maxi Moralez (New York City Football Club)."
56,39bd6d92,79',Offside,"Offside, Inter Miami CF. Daniel Pinter is caught offside."
55,39bd6d92,77',Substitution,"Substitution: Y. Bright out, G. Berterame in"
54,39bd6d92,77',Substitution,"Substitution: I. Fray out, F. Mura in"
53,39bd6d92,77',Substitution,"Substitution: M. Silvetti out, D. Ruíz in"
52,39bd6d92,77',Foul,"Micael dos Santos (Inter Miami CF) wins a free kick, after being fouled by Nicolás Fernández (New York City Football Club)."
51,39bd6d92,75',Substitution,"Substitution: K. Parks out, J. Shore in"
50,39bd6d92,74',Corner,"Goal! 2:3. Micael dos Santos (Inter Miami CF) scored with header from the right side of the box to the bottom left corner. Assisted by Noah Allen, second assist by David Ayala."
49,39bd6d92,74',Corner,"Corner from the left, (Inter Miami CF). Executed by Lionel Messi."
48,39bd6d92,73',Attempt Saved,Attempt blocked. Lionel Messi's (Inter Miami CF) with left footed shot from the central position outside the box with an xG of 10% is blocked by Kai Trewin.
47,39bd6d92,69',Corner,"Corner from the left, (New York City Football Club). Executed by Maxi Moralez."
46,39bd6d92,66',Foul,"Maxi Moralez (New York City Football Club) wins a free kick, after being fouled by Ian Fray (Inter Miami CF)."
45,39bd6d92,66',Foul,"Agustín Ojeda (New York City Football Club) wins a free kick, after being fouled by Telasco Segovia (Inter Miami CF)."
44,39bd6d92,65',Corner,"Corner from the left, (New York City Football Club). Executed by Maxi Moralez."
43,39bd6d92,64',Attempt Saved,Attempt saved. Nicolás Fernández's (New York City Football Club) with left footed shot from the left side of the box with an xG of 7% is saved by Dayne St. Clair.
