general_possession_pct_home,general_possession_pct_away,general_shots_home,general_shots_away,general_shots_on_goal_home,general_shots_on_goal_away,general_blocked_shots_home,general_blocked_shots_away,general_total_passes_home,general_total_passes_away,general_passing_accuracy_pct_home,general_passing_accuracy_pct_away,general_corners_home,general_corners_away,general_total_crosses_home,general_total_crosses_away,general_offsides_home,general_offsides_away,general_aerial_duels_won_home,general_aerial_duels_won_away,general_expected_goals_home,general_expected_goals_away,general_goalkeeper_saves_home,general_goalkeeper_saves_away,general_clearances_home,general_clearances_away,general_fouls_home,general_fouls_away,general_yellow_cards_home,general_yellow_cards_away,general_red_cards_home,general_red_cards_away,general_overall_pct_home,general_overall_pct_away,general_open_play_pass_pct_home,general_open_play_pass_pct_away,general_set_piece_cross_pct_home,general_set_piece_cross_pct_away,general_open_play_cross_pct_home,general_open_play_cross_pct_away,general_goals_conceded_home,general_goals_conceded_away,general_shots_against_home,general_shots_against_away,general_clean_sheets_home,general_clean_sheets_away,general_xg_conceded_home,general_xg_conceded_away,general_interceptions_home,general_interceptions_away,shooting_goals_home,shooting_goals_away,shooting_on_target_home,shooting_on_target_away,shooting_off_target_home,shooting_off_target_away,shooting_blocked_home,shooting_blocked_away,passing_overall_pct_home,passing_overall_pct_away,passing_open_play_pass_pct_home,passing_open_play_pass_pct_away,passing_set_piece_cross_pct_home,passing_set_piece_cross_pct_away,passing_open_play_cross_pct_home,passing_open_play_cross_pct_away,possession_0_5_home,possession_0_5_away,possession_6_10_home,possession_6_10_away,possession_11_15_home,possession_11_15_away,possession_16_20_home,possession_16_20_away,possession_21_25_home,possession_21_25_away,possession_26_30_home,possession_26_30_away,possession_31_35_home,possession_31_35_away,possession_36_40_home,possession_36_40_away,possession_41_45_home,possession_41_45_away,possession_46_50_home,possession_46_50_away,possession_51_55_home,possession_51_55_away,possession_56_60_home,possession_56_60_away,possession_61_65_home,possession_61_65_away,possession_66_70_home,possession_66_70_away,possession_71_75_home,possession_71_75_away,possession_76_80_home,possession_76_80_away,possession_81_85_home,possession_81_85_away,possession_86_90_home,possession_86_90_away,xg_total_team_xg_home,xg_total_team_xg_away,xg_shots_home,xg_shots_away,xg_shots_on_target_home,xg_shots_on_target_away,match_id
51.8,48.2,18,8,6,5,3,2,442,428,80.3,78.0,4,6,10,12,2,4,10,6,2.2,0.7,5,4,18,20,18,13,2,3,0,0,80.3,78.0,79.8,77.9,50.0,25.0,20.0,16.7,0,2,18,8,0,0,0.7,2.2,3,3,2,0,6,5,7,1,3,2,80.3,78.0,79.8,77.9,50.0,25.0,20.0,16.7,73.29,26.71,55.11,44.89,65.0,35.0,64.41,35.59,51.81,48.19,67.22,32.78,59.4,40.6,47.1,52.9,70.15,29.85,69.67,30.33,53.25,46.75,34.47,65.53,38.79,61.21,52.59,47.41,20.23,79.77,45.55,54.45,40.2,59.8,28.43,71.57,2.2,0.7,18,8,6,5,5b56020b
57.8,42.2,18,8,7,5,5,1,520,387,81.5,73.6,6,3,3,7,1,6,13,12,1.5,1.1,4,5,7,10,19,12,0,3,0,0,81.5,73.6,81.4,73.5,0.0,0.0,33.3,14.3,1,2,18,8,0,0,1.1,1.5,3,2,2,1,7,5,5,0,5,1,81.5,73.6,81.4,73.5,0.0,0.0,33.3,14.3,53.93,46.07,60.47,39.53,74.81,25.19,84.15,15.85,56.2,43.8,70.21,29.79,53.23,46.77,48.54,51.46,85.49,14.51,39.89,60.11,57.61,42.39,45.77,54.23,63.37,36.63,61.96,38.04,60.27,39.73,40.29,59.71,36.82,63.18,45.89,54.11,1.5,1.1,18,8,7,5,bc8f5ed6
55.8,44.2,21,10,4,5,7,2,426,318,81.9,76.7,9,3,1,4,2,0,14,13,1.6,0.6,3,3,8,14,19,9,5,1,1,0,81.9,76.7,82.1,78.3,44.4,0.0,0.0,50.0,2,1,21,10,0,0,0.6,1.6,0,1,1,2,4,5,7,2,7,2,81.9,76.7,82.1,78.3,44.4,0.0,0.0,50.0,39.98,60.02,44.59,55.41,45.59,54.41,58.68,41.32,79.5,20.5,64.19,35.81,53.28,46.72,54.77,45.23,56.68,43.32,59.62,40.38,53.84,46.16,57.24,42.76,59.01,40.99,38.79,61.21,60.35,39.65,51.35,48.65,48.99,51.01,63.45,36.55,1.6,0.6,21,10,4,5,eb6d592e
42.7,57.3,5,16,5,7,0,5,356,611,78.1,86.6,4,6,3,8,4,2,3,9,0.4,1.1,7,4,10,6,12,13,2,2,0,0,78.1,86.6,79.6,86.6,20.0,20.0,33.3,25.0,0,1,5,16,0,0,1.1,0.4,1,0,1,0,5,7,0,3,0,5,78.1,86.6,79.6,86.6,20.0,20.0,33.3,25.0,61.71,38.29,54.64,45.36,36.53,63.47,34.11,65.89,46.98,53.02,48.02,51.98,67.32,32.68,50.45,49.55,20.19,79.81,42.76,57.24,61.48,38.52,54.58,45.42,25.7,74.3,41.32,58.68,43.89,56.11,31.62,68.38,37.28,62.72,28.81,71.19,0.4,1.1,5,16,5,7,82b83643
60.2,39.8,28,9,13,4,9,2,545,287,83.8,69.3,10,4,12,2,1,3,12,6,3.1,2.2,2,12,8,13,9,9,1,2,0,0,83.8,69.3,83.5,70.8,57.1,75.0,16.7,0.0,2,1,28,9,0,0,2.2,3.1,0,0,1,2,13,4,3,3,9,2,83.8,69.3,83.5,70.8,57.1,75.0,16.7,0.0,75.37,24.63,53.54,46.46,73.6,26.4,49.14,50.86,51.74,48.26,62.6,37.4,58.45,41.55,39.95,60.05,80.28,19.72,46.33,53.67,58.65,41.35,48.79,51.21,70.03,29.97,63.42,36.58,,100.0,77.27,22.73,72.6,27.4,68.27,31.73,3.1,2.2,28,9,13,4,ce46d9b8
60.1,39.9,16,11,8,3,5,2,687,443,90.1,84.0,5,3,2,4,2,0,5,7,2.3,1.1,3,3,0,2,17,12,2,3,0,0,90.1,84.0,90.5,83.3,0.0,75.0,50.0,75.0,0,4,16,11,0,0,1.1,2.3,0,1,4,0,8,3,2,3,5,2,90.1,84.0,90.5,83.3,0.0,75.0,50.0,75.0,75.72,24.28,61.34,38.66,58.75,41.25,57.16,42.84,69.7,30.3,43.43,56.57,59.36,40.64,44.94,55.06,64.3,35.7,53.72,46.28,59.88,40.12,77.78,22.22,71.36,28.64,61.57,38.43,60.89,39.11,72.06,27.94,48.31,51.69,43.62,56.38,2.3,1.1,16,11,8,3,f4dbb8e0
52.6,47.4,17,9,6,5,5,1,524,442,87.6,86.7,5,2,7,5,2,2,6,9,2.4,2.0,2,4,4,4,10,10,2,2,0,0,87.6,86.7,87.0,87.6,50.0,100.0,14.3,20.0,4,2,17,9,0,0,2.0,2.4,0,3,2,4,6,5,3,2,5,1,87.6,86.7,87.0,87.6,50.0,100.0,14.3,20.0,39.29,60.71,18.85,81.15,53.23,46.77,55.64,44.36,50.13,49.87,45.27,54.73,56.4,43.6,67.05,32.95,68.31,31.69,70.45,29.55,31.27,68.73,63.22,36.78,69.19,30.81,27.65,72.35,18.91,81.09,57.03,42.97,63.28,36.72,69.56,30.44,2.4,2.0,17,9,6,5,5f282b72
56.6,43.4,16,12,8,3,2,4,499,347,84.8,81.3,5,4,16,5,1,2,16,10,1.4,0.6,2,7,10,7,6,9,2,0,0,0,84.8,81.3,84.8,81.6,16.7,75.0,31.3,20.0,1,1,16,12,0,0,0.6,1.4,1,2,1,1,8,3,6,4,2,4,84.8,81.3,84.8,81.6,16.7,75.0,31.3,20.0,39.24,60.76,60.25,39.75,48.58,51.42,68.67,31.33,85.34,14.66,66.36,33.64,65.17,34.83,71.71,28.29,49.3,50.7,26.9,73.1,48.94,51.06,43.54,56.46,44.63,55.37,53.29,46.71,50.74,49.26,67.23,32.77,57.73,42.27,71.82,28.18,1.4,0.6,16,12,8,3,127bcb17
41.3,58.7,14,18,7,9,3,2,428,640,87.4,92.0,6,3,6,8,3,4,7,6,3.3,5.3,4,5,4,5,10,7,1,2,0,0,87.4,92.0,86.8,91.9,60.0,0.0,16.7,0.0,5,2,14,18,0,0,5.3,3.3,0,2,2,5,7,9,3,5,3,2,87.4,92.0,86.8,91.9,60.0,0.0,16.7,0.0,51.09,48.91,32.08,67.92,56.04,43.96,51.95,48.05,26.36,73.64,47.03,52.97,27.65,72.35,36.73,63.27,48.38,51.62,34.85,65.15,23.36,76.64,40.72,59.28,49.48,50.52,11.18,88.82,41.63,58.37,60.9,39.1,39.83,60.17,38.08,61.92,3.3,5.3,14,18,7,9,0ce6efd6
49.0,51.0,13,9,2,5,4,0,460,489,77.0,78.9,4,6,11,4,0,4,19,10,1.6,1.6,4,1,4,5,13,7,1,1,0,0,77.0,78.9,76.7,79.6,50.0,33.3,36.4,0.0,1,1,13,9,0,0,1.6,1.6,1,1,1,1,2,5,7,3,4,0,77.0,78.9,76.7,79.6,50.0,33.3,36.4,0.0,51.73,48.27,28.8,71.2,66.74,33.26,21.03,78.97,39.55,60.45,32.21,67.79,55.55,44.45,29.16,70.84,83.95,16.05,56.71,43.29,59.48,40.52,51.6,48.4,61.36,38.64,42.24,57.76,50.24,49.76,63.52,36.48,59.12,40.88,44.08,55.92,1.6,1.6,13,9,2,5,6c60c1b4
